D1,D2,D3,D4,D5,D6
3.485721,2.142555,1.118043,0.706633,0.670748,0.457445
2.358948,1.920365,0.905323,0.658343,0.509109,1.326655
1.096782,2.808569,1.235183,0.490529,1.424437,0.53973
9.477761,2.831189,0.755766,1.113761,0.154775,0.083014
1.180189,1.171866,0.915725,0.722849,0.278024,0.078965
3.413601,1.435652,1.502051,0.640938,0.577791,0.293289
1.682803,1.041521,1.365775,0.605643,0.309602,0.624706
9.281672,0.906493,1.125036,0.688719,1.201932,0.254985
2.328433,2.080973,0.719244,0.548262,0.556625,0.782773
0.87436,1.750279,1.505743,0.799017,0.805178,0.288903
4.734401,2.094802,0.882514,0.533716,0.788,0.439686
5.787688,1.24217,0.655667,0.733304,0.081964,0.170622
3.571929,1.51962,0.847991,0.889123,0.779581,0.337662
3.18198,0.764758,0.132967,1.590017,0.523808,0.319106
1.139881,1.536856,1.470604,0.428618,0.258703,0.391937
3.482792,0.893208,0.910068,0.443763,0.676611,0.382303
5.935778,1.935499,0.775167,0.239231,0.302172,0.297736
2.173315,1.381312,2.272076,0.480979,0.382224,0.636348
3.013494,0.767502,0.923459,0.413075,1.120595,0.82625
1.653239,1.322078,0.349638,0.560747,0.56481,0.391155
0.721629,1.601741,1.417822,0.656908,0.481371,0.840038
6.694436,0.282148,0.418056,0.973879,1.101098,0.481784
3.223039,1.344483,0.691109,0.872804,0.381288,0.159406
3.937643,2.478703,1.980913,0.547851,0.517969,0.583647
0.567165,2.947709,0.36968,0.490656,0.994171,0.548404
2.664039,0.288706,1.996117,0.276024,1.126011,0.402858
3.560498,0.559418,0.143151,0.242139,0.427501,0.42597
1.061291,1.030744,0.508092,0.845181,0.544752,0.875967
2.176982,2.170522,1.782712,1.347398,0.665539,0.428787
3.401887,0.708837,0.499846,1.058025,1.047955,0.61623
1.279084,2.269959,0.501122,0.539134,0.749782,0.435107
1.20896,1.518447,0.507039,0.602955,0.251933,1.090016
1.244181,1.916053,0.815649,0.618419,0.258407,0.217655
3.815985,2.567598,0.320016,0.67315,0.444906,1.045872
3.06805,2.12631,1.185103,0.235266,0.267456,0.390927
1.417463,1.348275,0.668273,0.465541,0.315069,0.786924
5.339912,2.263431,0.774943,0.087557,0.945621,0.543372
1.541589,2.093515,1.207558,0.33218,0.813605,0.174246
0.83727,3.868782,2.892815,2.345712,1.042002,0.211308
1.0425,1.866643,0.765042,1.092937,0.582248,0.962058
2.295314,2.702141,1.090713,1.188659,0.884326,0.432773
2.353071,1.180205,1.567678,0.528893,0.313273,0.30394
