D1,D2,D3,D4,D5,D6
4.26538682,4.05485782,2.5424783,0.68538037,4.27970914,0.98782305
2.87894946,5.59472972,2.92686226,1.59667704,4.73685327,6.64806339
5.62079043,3.93534791,0.72534165,0.56853184,1.39349877,-0.29508857
6.19391123,2.0021736,1.35017648,3.38900591,3.69601836,7.30985271
4.74088184,4.19028529,1.1924122,0.49775545,5.59901976,1.2106903
2.38004447,3.24596343,0.46892928,0.89884583,3.58266145,-0.65825342
5.00091469,3.42205438,0.11191996,0.12001528,13.43722875,2.10005054
2.89864848,3.00282376,0.29652286,0.92656954,2.28874645,5.43911304
3.39935154,4.85263126,0.38934354,0.29716993,7.20360703,5.43143951
2.00868665,4.44328133,1.09618226,1.13368284,1.32650767,-3.16914594
4.4602626,6.36316552,2.3005922,0.1928164,1.61895309,-1.1320785
4.78088425,4.32098679,0.19302864,0.90806994,5.41334076,6.81275784
5.32809199,4.15217552,1.17113742,1.17037955,12.97622422,5.70097148
5.06374419,4.33497578,0.61751649,1.25771822,11.97954099,5.42012607
7.37130747,1.84325636,3.63308179,0.02174198,4.29823803,7.61802929
3.74725743,6.5760375,1.38747208,0.93018224,6.33037171,8.01566127
5.6365712,-0.28592403,0.6929375,1.41243238,6.82543152,5.79961841
6.662638,-0.83046281,0.09491681,1.02859271,4.41542217,-0.37794087
4.1869312,3.62394684,0.84836403,0.21158378,3.4333736,3.91791298
6.98020457,-0.15467957,0.92149664,1.23684556,4.2518962,7.00457849
6.21974096,1.37607337,2.26424823,0.21497165,4.09842551,3.62751088
3.47961485,-1.74607478,1.04999419,0.11420274,3.61300374,4.70092033
3.29887732,5.26605426,0.5135503,0.56533158,1.87888838,2.25208347
6.51987331,7.69304544,0.65852582,0.65746507,3.50815436,2.62125214
2.60171846,3.28957089,0.29833893,0.61171449,10.60439426,-1.0087799
6.07250422,3.4048627,11.03332109,0.54463529,2.31802618,-6.4534678
6.28638811,7.0430283,0.2262453,1.17040433,4.54437898,6.33407958
5.82857814,1.47521843,1.74158904,0.63986127,8.2740794,3.61958928
3.94553409,6.07075953,0.28952605,0.08694671,7.51310027,2.69128478
3.11838659,5.95358471,1.14587161,0.61536616,4.51001775,-1.70670656
4.87173468,4.31104467,1.16495494,2.10910836,5.05208863,-1.80001165
5.36341129,4.50774221,2.9334644,0.31741722,5.36071053,2.77897303
6.51458074,1.14489814,0.09560492,0.14548253,4.82430602,1.40488459
3.78965974,4.47048988,0.87594808,0.46451059,5.15822019,0.79139468
2.7975179,7.69895102,2.57371389,0.23584135,2.80171055,-1.32452333
4.33840489,4.12131311,1.92819474,1.80519246,3.51337566,3.26855539
8.01097706,4.7238929,2.12614913,1.01291203,2.45753296,0.53312046
4.54441706,0.7937502,1.97202871,1.95592338,9.54191961,6.87446271
4.57323703,2.55784749,1.29295468,0.16048293,10.01026653,5.15794829
2.6522598,1.05229045,1.74638912,0.7115249,7.53255189,4.920425
4.0725744,4.87417578,0.84829601,1.79630917,5.6698659,0.90501658
4.8958156,4.44063576,1.06383769,0.49206759,5.31093446,0.41143228
2.47443453,2.52616181,0.55260182,0.97020173,8.32238865,1.96028675
3.92390789,1.89918337,5.97597897,0.02134274,1.6871735,2.70547184
4.53664145,8.65015194,1.57477804,1.75527296,6.40051059,8.63288514
4.24188799,4.11784562,0.81089972,0.04617001,7.47174217,-3.00457545
3.45138088,4.96947678,1.38726379,0.49540184,4.77824654,-1.34005005
4.8942642,1.58153411,0.37122844,2.50115038,10.71080265,4.3198827
4.06805688,1.02513476,0.59681871,0.3106582,3.76172369,2.12984886
6.14266577,2.75674022,0.33674278,0.88624417,4.6682841,3.62826815
3.15392733,1.07829751,0.54027107,0.07865847,2.10458762,5.57063491
2.80256011,4.38019339,0.88556931,1.23818146,1.46108447,2.46458229
6.48597472,5.04112475,2.14288054,3.31893405,10.1143876,5.56550376
4.2763473,4.96631438,0.68452204,0.73758305,7.0685096,0.26611377
3.92333238,6.38344788,0.29982455,0.88850971,1.25074735,5.75636243
5.47021448,0.01567369,0.52462197,1.16657167,1.52627423,5.61666662
4.34506465,-1.48259299,0.79412474,0.57844428,4.11075585,5.88128477
5.39038825,4.85209874,0.34909429,1.93344763,1.63679377,0.28583842
