Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
17zuoye	DST Global	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	H Capital	Education|Language Learning	100000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	H Capital	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Shunwei Capital	Education|Language Learning	10000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Shunwei Capital	Education|Language Learning	100000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Shunwei Capital	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Shunwei Capital	Education|Language Learning	5000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Temasek Holdings	Education|Language Learning	100000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Tiger Global Management	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Wang Qiang	Education|Language Learning	10000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Xu Xiaoping	Education|Language Learning	10000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
17zuoye	Yuri Milner	Education|Language Learning	100000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
3D Robotics	Atlantic Bridge	Drones|Manufacturing	14000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Atlantic Bridge	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Christopher Michel	Drones|Manufacturing	5000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Danhua Capital	Drones|Manufacturing	14000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Foundry Group	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Foundry Group	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Mayfield Fund	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Mayfield Fund	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	O'Reilly AlphaTech Ventures	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	O'Reilly AlphaTech Ventures	Drones|Manufacturing	5000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	O'Reilly AlphaTech Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Ooga Labs	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Qualcomm Ventures	Drones|Manufacturing	14000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Qualcomm Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	SK Ventures	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	SK Ventures	Drones|Manufacturing	5000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	SK Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	SanDisk Ventures	Drones|Manufacturing	14000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	SanDisk Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	Shea Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	True Ventures	Drones|Manufacturing	30000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	True Ventures	Drones|Manufacturing	5000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	True Ventures	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	WestSummit Capital	Drones|Manufacturing	14000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
3D Robotics	WestSummit Capital	Drones|Manufacturing	50000000	Drones/Satellites	USA	Foundry Group, Maveron, Mayfield Fund	
Airware	Andreessen Horowitz	Aerospace|Drones|Enterprise Software|Robotics	12200000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Andreessen Horowitz	Aerospace|Drones|Enterprise Software|Robotics	25000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Felicis Ventures	Aerospace|Drones|Enterprise Software|Robotics	12200000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	First Round	Aerospace|Drones|Enterprise Software|Robotics	12200000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	First Round	Aerospace|Drones|Enterprise Software|Robotics	25000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	First Round	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Google Ventures	Aerospace|Drones|Enterprise Software|Robotics	12200000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Google Ventures	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Kleiner Perkins Caufield & Byers	Aerospace|Drones|Enterprise Software|Robotics	25000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Lemnos Labs	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Promus Ventures	Aerospace|Drones|Enterprise Software|Robotics	12200000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Promus Ventures	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	RRE Ventures	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Shasta Ventures	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Airware	Y Combinator	Aerospace|Drones|Enterprise Software|Robotics	3000000	Drones/Satellites	USA	RRE Ventures, Google Ventures, First Round Capital	
Avant	August Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	20000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	August Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	August Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	August Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	9000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Balyasny Asset Management	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	DFJ Growth	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	DFJ Growth	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	General Atlantic	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	JP Morgan Chase & Co.	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Jefferies & Company	Analytics|Big Data|FinTech|Machine Learning|Web Development	400000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Jefferies Group	Analytics|Big Data|FinTech|Machine Learning|Web Development	200000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	KKR (Kohlberg Kravis Roberts & Co.)	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	KKR (Kohlberg Kravis Roberts & Co.)	Analytics|Big Data|FinTech|Machine Learning|Web Development	400000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Mark Friedgan	Analytics|Big Data|FinTech|Machine Learning|Web Development	9000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Peter Thiel	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	QED Investors	Analytics|Big Data|FinTech|Machine Learning|Web Development	20000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	RRE Ventures	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	RRE Ventures	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Tiger Global Management	Analytics|Big Data|FinTech|Machine Learning|Web Development	225000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Tiger Global Management	Analytics|Big Data|FinTech|Machine Learning|Web Development	325000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Tiger Global Management	Analytics|Big Data|FinTech|Machine Learning|Web Development	75000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	150000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	20000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	25000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	300000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	400000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Avant	Victory Park Capital	Analytics|Big Data|FinTech|Machine Learning|Web Development	9000000	Fintech	USA	RRE Ventures, August Capital, KKR	Unicorn (9/29/2015)
Beepi	Alec Oxenford	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	AngelList	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Brett Rochkind	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Brian Sharples	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Brian Sharples	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Comerica Bank	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Fabrice Grinda	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Fabrice Grinda	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Fabrice Grinda	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Foundation Capital	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Gil Penchina	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Jeff Brody	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Jose Marin	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Philippe Suchet	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Redpoint Ventures	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Redpoint Ventures	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Richard Boyle	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Rough Draft Ventures	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Scott Bommer	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Sherpa Capital	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Sherpa Capital	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Shervin Pishevar	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Silicon Valley Bank	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Silicon Valley Bank	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	TA Ventures	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Teodoro D'Ambrosio	Automotive|E-Commerce	1250000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Tina Sharkey	Automotive|E-Commerce	5000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Tina Sharkey	Automotive|E-Commerce	60000000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Beepi	Yuri Milner	Automotive|E-Commerce	12700000	E-commerce	USA	Foundation Capital, Sherpa Ventures, Redpoint Ventures	
Betterment	Anthemis Group	Finance|Investment Management	10000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Anthemis Group	Finance|Investment Management	3000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Anthemis Group	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Anthemis Group	Finance|Investment Management	60000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Bessemer Venture Partners	Finance|Investment Management	10000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Bessemer Venture Partners	Finance|Investment Management	3000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Bessemer Venture Partners	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Bessemer Venture Partners	Finance|Investment Management	60000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Citi Ventures	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Francisco Partners	Finance|Investment Management	60000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Globespan Capital Partners	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Jason Finger	Finance|Investment Management	3000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Menlo Ventures	Finance|Investment Management	10000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Menlo Ventures	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Menlo Ventures	Finance|Investment Management	60000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Northwestern Mutual	Finance|Investment Management	32000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Northwestern Mutual	Finance|Investment Management	60000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	Thomas D. Lehrman	Finance|Investment Management	3000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	reinmkr capital	Finance|Investment Management	10000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Betterment	reinmkr capital	Finance|Investment Management	3000000	Fintech	USA	Bessemer Venture Partners, Menlo Ventures, Red Swan Ventures	Raised Series E (3/29/2016)
Coinbase	Alexis Ohanian	Bitcoin|E-Commerce|Personal Finance	600000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Andreessen Horowitz	Bitcoin|E-Commerce|Personal Finance	25000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Andreessen Horowitz	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Anthony Saleh	Bitcoin|E-Commerce|Personal Finance	25000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	BBVA Ventures	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Blockchain Capital	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Bobby Goodlatte	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Draper Fisher Jurvetson (DFJ)	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	FundersClub	Bitcoin|E-Commerce|Personal Finance	600000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	FundersClub	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Garry Tan	Bitcoin|E-Commerce|Personal Finance	600000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Greg Kidd	Bitcoin|E-Commerce|Personal Finance	600000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Interplay Ventures	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	New York Stock Exchange (NYSE)	Bitcoin|E-Commerce|Personal Finance	75000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	QueensBridge Venture Partners	Bitcoin|E-Commerce|Personal Finance	25000000	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
Coinbase	Red Swan Ventures	Bitcoin|E-Commerce|Personal Finance	6109590	Fintech	USA	Union Square Ventures, Andreessen Horowitz, BBVA Ventures	
