Company	Valuation ($B)	Date Joined	Country	Industry	Select Investors -- this data from https://www.cbinsights.com/research-unicorn-companies
23andMe	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
AUTO1 Group	$1.2	8/3/2015	Germany	eCommerce/Marketplace	Digital Sky Technologies, Piton Capital, DN Capital
AVAST Software	$1	2/5/2014	Czech Republic	Cybersecurity	Summit Partners, CVC Capital Partners
Actifio	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Adyen	$2.3	12/16/2014	Netherlands	Fintech	Felicis Ventures, Index Ventures, Temasek Holdings
Africa Internet Group	$1.04	2/8/2016	Nigeria	eCommerce/Marketplace	AXA
Age of Learning	$1	5/3/2016	USA	Edtech	Iconiq Capital
Airbnb	$25.5	7/26/2011	USA	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Anaplan	$1.09	1/14/2016	USA	Internet Software & Services	Shasta Ventures, Granite Ventures, DFJ Growth Fund
AppDirect	$1	10/7/2015	USA	Internet Software & Services	Foundry Group, iNovia Capital, StarVest Partners
AppDynamics	$1	7/22/2014	USA	Big Data	Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners
AppNexus	$1.2	8/18/2014	USA	Adtech	Khosla Ventures, Technology Crossover Ventures, Tribeca Venture Partners
Apttus	$1	9/1/2015	USA	Internet Software & Services	Iconiq Capital, K1 Capital, Salesforce Ventures
Apus Group	$1	1/16/2015	China	Mobile Software & Services	Redpoint Ventures, QiMing Venture Partners, Chengwei Capital
Automattic	$1.16	5/27/2013	USA	Internet Software & Services	Insight Venture Partners, Lowercase Capital, Polaris Partners
Avant	$2	9/30/2015	USA	Fintech	RRE Ventures, Tiger Global, August Capital
BeiBei	$1	1/22/2015	China	eCommerce/Marketplace	Banyan Capital, New Horizon Capital, IDG Capital Partners
Beijing Weiying Technology	$2	11/17/2015	USA	eCommerce/Marketplace	Tencent, iDreamSky Technology, GGV Capital
BlaBlaCar	$1.6	9/16/2015	France	On-Demand	Accel Partners, Index Ventures, Insight Venture Partners
Bloom Energy	$2.7	3/6/2009	USA	Greentech	Kleiner Perkins Caufield & Byers, ATEL Ventures, DAG Ventures
Blue Apron	$2	6/9/2015	USA	eCommerce/Marketplace	Bessemer Venture Partners, First Round Capital, BoxGroup
BuzzFeed	$1.5	8/18/2015	USA	Media	SV Angel, RRE Ventures, New Enterprise Associates
CJ Games	$1.79	3/26/2014	South Korea	Gaming	Tencent
Carbon3D	$1	8/20/2015	USA	Hardware	Google Ventures, Sequoia Capital, Wakefield Group
China Internet Plus Holding	$18	12/22/2015	China	eCommerce/Marketplace	DST Global, Trustbridge Partners, Capital Today
China Rapid Finance	$1	7/29/2015	China	Fintech	Broadline Capital, UBS
CloudFlare	$1	12/1/2012	USA	Cybersecurity	New Enterprise Associates, Pelion Venture Partners, Union Square Ventures
Cloudera	$4.1	3/18/2014	USA	Big Data	Greylock Partners, Ignition Partners, Google Ventures
ContextLogic (dba. Wish)	$3	5/18/2015	USA	eCommerce/Marketplace	Founders Fund, GGV Capital, Digital Sky Technologies
Coupa Software	$1	6/1/2015	USA	Fintech	Battery Ventures, Iconiq Capital, T. Rowe Price
Coupang	$5	5/28/2014	South Korea	eCommerce/Marketplace	Sequoia Capital, Founder Collective, Wellington Management
Credit Karma	$3.5	9/29/2014	USA	Fintech	Felicis Ventures, SV Angel, Founders Fund
DJI	$10	5/6/2015	China	Hardware	Accel Partners, Sequoia Capital
Dada	$1	12/31/2015	China	eCommerce	Sequoia Capital China, DST, Greenwoods Asset Management
Datto	$1	11/17/2015	USA	Hardware	Technology Crossover Ventures, General Catalyst Partners
Decolar.com	$1	3/10/2015	Argentina	Internet Software & Services	Sequoia Capital, TPG capital, Accel Partners
Deem	$1.35	11/15/2011	USA	Big Data	Empire Ventures, Foundational Capital, Oak Investment Partners
Delivery Hero	$3.1	11/3/2014	Germany	eCommerce/Marketplace	Rocket Internet, Phenomen Ventures, Insight Venture Partners
