Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
23andMe	Anne Wojcicki	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Casdin Capital	Biotechnology|Search	115000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Eric Lederman	Biotechnology|Search	100000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Fidelity Management & Research	Biotechnology|Search	115000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Genentech	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Google	Biotechnology|Search	12600000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Google	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Google Ventures	Biotechnology|Search	22000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Google Ventures	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Johnson & Johnson Development Corporation	Biotechnology|Search	22000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Johnson & Johnson Development Corporation	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	MPM Capital	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Mohr Davidow Ventures	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	National Institutes of Health	Biotechnology|Search	1400000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	New Enterprise Associates	Biotechnology|Search	22000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	New Enterprise Associates	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	New Enterprise Associates	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Sergey Brin	Biotechnology|Search	12600000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Sergey Brin	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Stephens Investment Management	Biotechnology|Search	9000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	WuXi Healthcare Ventures	Biotechnology|Search	115000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Xfund	Biotechnology|Search	115000000	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
23andMe	Yuri Milner	Biotechnology|Search	57949900	$1.03	7/3/2015	USA	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
AUTO1 Group	DN Capital	Cars|Consumers|Services|Trading	117600000	$1.2	8/3/2015	Germany	eCommerce/Marketplace	Digital Sky Technologies, Piton Capital, DN Capital
AUTO1 Group	DST Global	Cars|Consumers|Services|Trading	117600000	$1.2	8/3/2015	Germany	eCommerce/Marketplace	Digital Sky Technologies, Piton Capital, DN Capital
AUTO1 Group	Piton Capital	Cars|Consumers|Services|Trading	117600000	$1.2	8/3/2015	Germany	eCommerce/Marketplace	Digital Sky Technologies, Piton Capital, DN Capital
AVAST Software	Summit Partners	Security	100000000	$1	2/5/2014	Czech Republic	Cybersecurity	Summit Partners, CVC Capital Partners
Actifio	83North	Enterprise Software|Information Services|Information Technology	100000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	83North	Enterprise Software|Information Services|Information Technology	16000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	83North	Enterprise Software|Information Services|Information Technology	33500000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	83North	Enterprise Software|Information Services|Information Technology	50000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Advanced Technology Ventures	Enterprise Software|Information Services|Information Technology	100000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Advanced Technology Ventures	Enterprise Software|Information Services|Information Technology	16000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Advanced Technology Ventures	Enterprise Software|Information Services|Information Technology	33500000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Andreessen Horowitz	Enterprise Software|Information Services|Information Technology	100000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Andreessen Horowitz	Enterprise Software|Information Services|Information Technology	33500000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Andreessen Horowitz	Enterprise Software|Information Services|Information Technology	50000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	Greylock Partners	Enterprise Software|Information Services|Information Technology	8000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	North Bridge Venture Partners & Growth Equity	Enterprise Software|Information Services|Information Technology	16000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	North Bridge Venture Partners & Growth Equity	Enterprise Software|Information Services|Information Technology	33500000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Actifio	North Bridge Venture Partners & Growth Equity	Enterprise Software|Information Services|Information Technology	50000000	$1.1	3/24/2014	USA	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
